subj_id,sex,age,rank,     trial,ordre_block,   session,react_time,   picture,success,type_picture,stim,expe_pic,Bared teeth,rank_2,pic-control,control_Stroop
Abbott,         M,17,H,10,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,11,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,12,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,13,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,14,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,15,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,16,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,17,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,18,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,19,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,20,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,21,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,22,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,23,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,24,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,25,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,26,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,27,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,28,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,29,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,30,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,31,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,32,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,33,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,34,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,35,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,36,,2,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,1,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,2,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,3,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,4,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,5,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,6,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,7,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,8,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,9,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,10,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,11,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,12,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,13,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,14,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,15,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,16,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,17,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,18,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,19,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,20,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,21,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,22,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,23,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,24,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,25,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,26,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,27,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,28,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,29,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,30,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,31,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,32,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,33,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,34,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,35,,3,,,,,pic,1,,H,-7651.666,
Abbott,         M,17,H,36,,3,,,,,pic,1,,H,-7651.666,
Adele,         F,3,B,1,1,0,10175.707,0,1,None,None,0,0,M,6494.641,-6494.641
Adele,         F,3,B,2,1,0,2805.3821,0,1,None,None,0,0,M,-875.6839,875.6839
Adele,         F,3,B,3,1,0,4433.7046,0,1,None,None,0,0,M,752.6386,-752.6386
Adele,         F,3,B,4,1,0,882.4708,0,1,None,None,0,0,M,-2798.5952,2798.5952
Adele,         F,3,B,5,1,0,1045.7282,0,1,None,None,0,0,M,-2635.3378,2635.3378
Adele,         F,3,B,6,1,0,1191.9106,0,1,None,None,0,0,M,-2489.1554,2489.1554
Adele,         F,3,B,7,1,0,1349.9229,0,1,None,None,0,0,M,-2331.1431,2331.1431
Adele,         F,3,B,8,1,0,2695.3597,0,1,None,None,0,0,M,-985.7063,985.7063
Adele,         F,3,B,9,1,0,1387.2699,0,1,None,None,0,0,M,-2293.7961,2293.7961
Adele,         F,3,B,10,1,0,1998.5869,0,1,None,None,0,0,M,-1682.4791,1682.4791
Adele,         F,3,B,2,1,1,2178.953,0,1,None,None,0,0,M,-1502.113,1502.113
Adele,         F,3,B,7,2,1,17762.559,0,1,None,None,0,0,M,14081.493,-14081.493
Adele,         F,3,B,8,2,1,22017.497,0,1,None,None,0,0,M,18336.431,-18336.431
Adele,         F,3,B,13,3,1,4466.6785,0,1,None,None,0,0,M,785.6125,-785.6125
Adele,         F,3,B,14,3,1,197.5301,0,1,None,None,0,0,M,-3483.5359,3483.5359
Adele,         F,3,B,19,4,1,2032.4607,0,1,None,None,0,0,M,-1648.6053,1648.6053
Adele,         F,3,B,20,4,1,4748.7994,0,1,None,None,0,0,M,1067.7334,-1067.7334
Adele,         F,3,B,25,5,1,24.0734,0,1,None,None,0,0,M,-3656.9926,3656.9926
Adele,         F,3,B,26,5,1,460.4543,0,1,None,None,0,0,M,-3220.6117,3220.6117
Adele,         F,3,B,31,6,1,27.4388,0,1,None,None,0,0,M,-3653.6272,3653.6272
Adele,         F,3,B,32,6,1,91.6541,0,1,None,None,0,0,M,-3589.4119,3589.4119
Adele,         F,3,B,3,1,1,15012.7729,6,1,Threat,pic,0,0,M,11331.7069,-11331.7069
Adele,         F,3,B,4,1,1,7773.2295,5,1,Threat,pic,0,0,M,4092.1635,-4092.1635
Adele,         F,3,B,5,1,1,12642.7683,7,1,Threat,pic,0,0,M,8961.7023,-8961.7023
Adele,         F,3,B,6,1,1,5796.8724,8,1,Threat,pic,0,0,M,2115.8064,-2115.8064
Adele,         F,3,B,9,2,1,7780.0547,2,1,Object,pic,0,0,M,4098.9887,-4098.9887
Adele,         F,3,B,10,2,1,3247.8851,3,1,Object,pic,0,0,M,-433.1809,433.1809
Adele,         F,3,B,11,2,1,5818.6782,4,1,Object,pic,0,0,M,2137.6122,-2137.6122
Adele,         F,3,B,12,2,1,560.0666,1,1,Object,pic,0,0,M,-3120.9994,3120.9994
Adele,         F,3,B,15,3,1,55.6728,10,1,Neutral,pic,0,0,M,-3625.3932,3625.3932
Adele,         F,3,B,16,3,1,4942.9164,11,1,Neutral,pic,0,0,M,1261.8504,-1261.8504
Adele,         F,3,B,17,3,1,1020.2686,12,1,Neutral,pic,0,0,M,-2660.7974,2660.7974
Adele,         F,3,B,18,3,1,765.8553,9,1,Neutral,pic,0,0,M,-2915.2107,2915.2107
Adele,         F,3,B,21,4,1,24.469,7,1,Threat,pic,0,0,M,-3656.597,3656.597
Adele,         F,3,B,22,4,1,4941.3,5,1,Threat,pic,0,0,M,1260.234,-1260.234
Adele,         F,3,B,23,4,1,20539.4056,6,1,Threat,pic,0,0,M,16858.3396,-16858.3396
Adele,         F,3,B,24,4,1,4562.8298,8,1,Threat,pic,0,0,M,881.7638,-881.7638
Adele,         F,3,B,27,5,1,3618.8619,11,1,Neutral,pic,0,0,M,-62.2041,62.2041
Adele,         F,3,B,28,5,1,40989.1353,12,0,Neutral,pic,0,0,M,37308.0693,-37308.0693
